,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
1908,F14Q10051313,202406,1.0,"(0.985, 1.0]",IL,0.9878487382372392,0.7448050296634338
2043,F14Q10057262,202406,1.0,"(0.985, 1.0]",IL,0.995024543503172,0.7448050296634338
11980,F14Q20067577,202406,0.0,"(0.102, 0.335]",IL,0.20139351225216123,0.0682040830186075
18494,F14Q20222407,202406,0.0,"(0.102, 0.335]",IL,0.2263704039479274,0.0682040830186075
20877,F14Q20281568,202406,0.0,"(0.666, 0.885]",FL,0.7638142605291319,0.0
24831,F14Q30071571,202406,1.0,"(0.666, 0.885]",CA,0.8564952929241898,0.0
32438,F14Q30261449,202406,0.0,"(0.666, 0.885]",IL,0.8027992060104294,0.0
33459,F14Q30285570,202406,0.0,"(0.335, 0.666]",TX,0.5780667265788366,0.3249699950175767
60914,F15Q10205029,202406,1.0,"(0.666, 0.885]",IL,0.8509691357860002,0.0
68241,F15Q10347923,202406,0.0,"(0.102, 0.335]",CA,0.199624991346834,0.0682040830186075
71538,F15Q20034437,202406,1.0,"(0.666, 0.885]",TX,0.8460264610254392,0.0
78117,F15Q20148610,202406,1.0,"(0.666, 0.885]",FL,0.6796739431092185,0.0
78565,F15Q20157631,202406,1.0,"(0.885, 0.96]",CA,0.9203543910713099,0.0
86924,F15Q20310353,202406,1.0,"(0.335, 0.666]",IL,0.6605231635861791,0.3249699950175767
96338,F15Q30056775,202406,0.0,"(0.102, 0.335]",CA,0.22065677409259601,0.0682040830186075
97898,F15Q30079212,202406,0.0,"(0.102, 0.335]",FL,0.301967700876146,0.0682040830186075
100084,F15Q30136074,202406,1.0,"(0.885, 0.96]",IL,0.8993875653571779,0.0
105237,F15Q30222223,202406,0.0,"(0.000616, 0.102]",FL,0.05733275598109695,0.0021245706107615213
132530,F15Q40318549,202406,0.0,"(0.000616, 0.102]",CA,0.08271570492308145,0.0021245706107615213
137353,F16Q10080904,202406,1.0,"(0.666, 0.885]",IL,0.8015991734280095,0.0
142822,F16Q10175166,202406,0.0,"(0.000616, 0.102]",CA,0.036535169475999746,0.0021245706107615213
162380,F16Q20187432,202406,0.0,"(0.102, 0.335]",TX,0.334054802388241,0.0682040830186075
165966,F16Q20239981,202406,0.0,"(0.102, 0.335]",FL,0.28726960448306116,0.0682040830186075
169571,F16Q20300494,202406,0.0,"(0.102, 0.335]",CA,0.24992129606420452,0.0682040830186075
172207,F16Q20337101,202406,0.0,"(0.000616, 0.102]",FL,0.07251401739638237,0.0021245706107615213
175603,F16Q20390561,202406,0.0,"(0.000616, 0.102]",TX,0.03238997757069999,0.0021245706107615213
198617,F16Q30294965,202406,0.0,"(0.102, 0.335]",IL,0.15188350490322702,0.0682040830186075
203043,F16Q30357967,202406,1.0,"(0.885, 0.96]",IL,0.9517583287226543,0.0
203624,F16Q30364763,202406,0.0,"(0.102, 0.335]",FL,0.3070043415413754,0.0682040830186075
210481,F16Q30454339,202406,0.0,"(0.000616, 0.102]",CA,0.07069419541482001,0.0021245706107615213
